"sample.id"	"Country"
"M11050401"	"M"
"M11052806"	"M"
"M11050404"	"M"
"M11051105"	"M"
"M11050414"	"M"
"M11050408"	"M"
"M11051206"	"M"
"M11051906"	"M"
"M11050413"	"M"
"M11050507"	"M"
"M11062914"	"M"
"M11051113"	"M"
"M11051804"	"M"
"M11050403"	"M"
"M11051103"	"M"
"M11050514"	"M"
"M11051104"	"M"
"M11072308"	"M"
"M11051204"	"M"
"M11051907"	"M"
"M11062215"	"M"
"M11060908"	"M"
"M11050509"	"M"
"M11052813"	"M"
"M11052505"	"M"
"M11062524"	"M"
"M11051209"	"M"
"M11051108"	"M"
"M11061602"	"M"
"M11050513"	"M"
"M11052812"	"M"
"M11062504"	"M"
"M11050416"	"M"
"M11051115"	"M"
